artist,neighbour,weight
Roy Lichtenstein,James Rosenquist,0.05790677157655131
Damien Hirst,Tracey Emin,0.14770511927586522
Damien Hirst,David Shrigley,0.11964967309218644
Damien Hirst,Richard Hamilton,0.07098769343706468
Damien Hirst,Peter Blake,0.10952824048009104
Damien Hirst,Patrick Hughes,0.06998366945475068
Damien Hirst,David Hockney,0.16813956190602955
Damien Hirst,Connor Brothers,0.09354427782775927
Damien Hirst,Howard Hodgkin,0.08489763327488423
Damien Hirst,Julian Opie,0.06091429638868711
Damien Hirst,Elisabeth Frink,0.07464983486268191
Rembrandt van Rijn,Albrecht Dürer,0.11079266111636929
Rembrandt van Rijn,James Abbott McNeill Whistler,0.1024301965531579
Rembrandt van Rijn,Pierre-Auguste Renoir,0.1124716659796597
Rembrandt van Rijn,Henri de Toulouse-Lautrec,0.07881051708446947
Rembrandt van Rijn,Christopher Richard Wynne Nevinson ARA,0.07612161076458021
Rembrandt van Rijn,Henri Matisse,0.101150273542957
Rembrandt van Rijn,Louis Icart,0.07894236252504437
Rembrandt van Rijn,Ansel Adams,0.07456619719403416
Rembrandt van Rijn,Georges Braque,0.08188918262873204
Rembrandt van Rijn,Marc Chagall,0.1828253326109959
Alexander Calder,Thomas Hart Benton,0.10027898243239053
Alexander Calder,Rufino Tamayo,0.10658392146367102
Alexander Calder,Jim Dine,0.10024297433407243
Alexander Calder,James Rosenquist,0.08005851019733677
Alexander Calder,Robert Rauschenberg,0.10204688223028918
Alexander Calder,Elisabeth Frink,0.08699012290643043
Alexander Calder,Jasper Johns,0.07274624268904269
Alexander Calder,Robert Motherwell,0.09488883271329653
Alexander Calder,Henry Moore,0.13065308293772687
Alexander Calder,Sam Francis,0.1255104480957436
Salvador Dalí,Joan Miró,0.25309019131901733
Salvador Dalí,Pablo Picasso,0.2900575533324215
Salvador Dalí,Graham Sutherland,0.041626776426473784
Salvador Dalí,Elisabeth Frink,0.05193616143487795
Salvador Dalí,Rufino Tamayo,0.053755266362066796
Salvador Dalí,Henry Moore,0.07994769715371776
Salvador Dalí,Paula Rego,0.04047317268569733
Salvador Dalí,John Piper,0.08241874287733922
Salvador Dalí,Tracey Emin,0.06396537943642602
Salvador Dalí,Eduardo Paolozzi,0.04272905897196228
Terry Frost,John Hoyland,0.11273368940792029
Terry Frost,Victor Pasmore,0.15015818068245465
Terry Frost,Howard Hodgkin,0.12640125192108712
Terry Frost,John Piper,0.1468620369407977
Terry Frost,Patrick Caulfield,0.08986936263539584
Terry Frost,Stanley William Hayter,0.06403779901909072
Terry Frost,Eduardo Paolozzi,0.06494729291955871
Terry Frost,Peter Blake,0.0915935482038516
Terry Frost,David Shrigley,0.08120450553128435
Terry Frost,Elisabeth Frink,0.07219233273855902
Tracey Emin,Damien Hirst,0.14992945997794438
Tracey Emin,David Shrigley,0.10408458746342769
Tracey Emin,Peter Blake,0.11284208063511193
Tracey Emin,Elisabeth Frink,0.08884467648567783
Tracey Emin,Connor Brothers,0.09008240253156626
Tracey Emin,Eduardo Paolozzi,0.0672642455932459
Tracey Emin,John Piper,0.12230441738457631
Tracey Emin,Graham Sutherland,0.06059935895397643
Tracey Emin,Paula Rego,0.05884562072819313
Tracey Emin,David Hockney,0.14520315024628017
Peter Blake,David Shrigley,0.13617189598549762
Peter Blake,Patrick Caulfield,0.10833983121031711
Peter Blake,John Piper,0.16023386059169759
Peter Blake,Eduardo Paolozzi,0.08100580721589173
Peter Blake,Tracey Emin,0.1187613590463692
Peter Blake,Richard Hamilton,0.0604291582830874
Peter Blake,Julian Opie,0.06037064734865001
Peter Blake,Damien Hirst,0.11311026461131136
Peter Blake,Elisabeth Frink,0.07688885913656525
Peter Blake,Victor Pasmore,0.08468831657061276
Takashi Murakami,Tracey Emin,0.12517096218672338
Takashi Murakami,Connor Brothers,0.1094175253021334
Takashi Murakami,Laurence Stephen Lowry,0.15445492016545814
Takashi Murakami,Damien Hirst,0.13666552987083855
Takashi Murakami,Peter Blake,0.09980013470904774
Takashi Murakami,Christo and Jeanne-Claude,0.0732406419069645
Takashi Murakami,Patrick Hughes,0.06420012531226314
Takashi Murakami,David Shrigley,0.08815560763649073
Takashi Murakami,Robert Rauschenberg,0.08947282636242658
Takashi Murakami,Eduardo Paolozzi,0.05942172654765386
Robert Rauschenberg,James Rosenquist,0.1184946847666961
Robert Rauschenberg,Jim Dine,0.12519032312613507
Robert Rauschenberg,Robert Motherwell,0.12714208695515727
Robert Rauschenberg,Jasper Johns,0.09691379779123474
Robert Rauschenberg,Ed Ruscha,0.09557107776072571
Robert Rauschenberg,Roy Lichtenstein,0.13873809530897468
Robert Rauschenberg,Tom Wesselmann,0.07720052698003227
Robert Rauschenberg,Wayne Thiebaud,0.06603150261673013
Robert Rauschenberg,Christo and Jeanne-Claude,0.07497747522445178
Robert Rauschenberg,Rufino Tamayo,0.0797404294698623
Henri Matisse,Marc Chagall,0.3102581224604922
Henri Matisse,Georges Braque,0.11236803628436165
Henri Matisse,Pierre-Auguste Renoir,0.09868488553317759
Henri Matisse,Henri de Toulouse-Lautrec,0.06221857078728335
Henri Matisse,David Hockney,0.13231094055810788
Henri Matisse,Sonia Delaunay,0.055160190142001214
Henri Matisse,Louis Icart,0.05945048281036438
Henri Matisse,Graham Sutherland,0.050719236258285824
Henri Matisse,Ansel Adams,0.05632865688101973
Henri Matisse,Elisabeth Frink,0.06250087828490632
Victor Vasarely,Sonia Delaunay,0.08293404478840562
Victor Vasarely,Patrick Caulfield,0.10310247303581144
Victor Vasarely,Terry Frost,0.12254100367805221
Victor Vasarely,Victor Pasmore,0.10552130241338727
Victor Vasarely,Georges Braque,0.09455588639536132
Victor Vasarely,Bridget Riley,0.08037450773530543
Victor Vasarely,John Piper,0.1448145996318024
Victor Vasarely,John Hoyland,0.0723215548835366
Victor Vasarely,Peter Blake,0.10708886454243635
Victor Vasarely,Howard Hodgkin,0.08674576289590144
Pierre-Auguste Renoir,Henri Matisse,0.13382494474035703
Pierre-Auguste Renoir,Marc Chagall,0.2395906768233282
